n, cpu_time
0, 5e-06
50000, 0.007363
100000, 0.010476
150000, 0.019433
200000, 0.031888
250000, 0.033686
300000, 0.050243
350000, 0.043759
400000, 0.070329
450000, 0.074974
500000, 0.064322
550000, 0.104214
600000, 0.101445
650000, 0.077952
700000, 0.119976
750000, 0.095037
800000, 0.143805
850000, 0.115988
900000, 0.186251
950000, 0.182685
1000000, 0.177995
1050000, 0.222068
1100000, 0.240497
1150000, 0.249976
1200000, 0.174339
1250000, 0.232625
1300000, 0.299136
1350000, 0.310328
1400000, 0.208125
1450000, 0.267676
1500000, 0.295118
1550000, 0.313042
1600000, 0.406257
1650000, 0.288359
1700000, 0.434673
1750000, 0.327489
1800000, 0.34885
1850000, 0.296773
1900000, 0.491821
1950000, 0.479935
2000000, 0.368502
2050000, 0.531285
2100000, 0.410488
2150000, 0.325874
2200000, 0.541518
2250000, 0.423111
2300000, 0.627608
2350000, 0.41656
2400000, 0.386234
2450000, 0.444014
2500000, 0.69765
2550000, 0.449652
2600000, 0.401572
2650000, 0.656411
2700000, 0.453351
2750000, 0.538895
2800000, 0.574527
2850000, 0.804973
2900000, 0.464592
2950000, 0.679477
3000000, 0.699561
3050000, 0.64612
3100000, 0.691545
3150000, 0.58845
3200000, 0.913001
3250000, 0.789457
3300000, 0.733309
3350000, 0.8553
3400000, 0.693076
3450000, 0.923231
3500000, 0.919868
3550000, 0.850899
3600000, 0.980011
3650000, 0.721344
3700000, 0.700033
3750000, 0.754942
3800000, 1.04815
3850000, 0.950391
3900000, 0.999282
3950000, 0.715568
4000000, 1.06347
4050000, 0.897089
4100000, 1.1976
4150000, 0.982643
4200000, 1.10879
4250000, 1.15619
4300000, 0.931679
4350000, 1.34858
4400000, 1.44273
4450000, 1.32425
4500000, 1.21518
4550000, 1.39048
4600000, 0.896886
4650000, 1.48192
4700000, 1.05205
4750000, 0.946042
4800000, 1.45858
4850000, 1.04461
4900000, 0.882146
4950000, 1.46701
5000000, 0.977351
5050000, 1.08225
5100000, 1.38032
5150000, 0.987665
5200000, 1.55067
5250000, 1.4457
5300000, 1.50358
5350000, 1.12183
5400000, 1.21448
5450000, 1.48051
5500000, 1.22444
5550000, 1.65813
5600000, 1.46216
5650000, 1.59837
5700000, 1.37997
5750000, 1.37812
5800000, 1.58018
5850000, 1.95545
5900000, 1.75984
5950000, 1.20695
6000000, 1.16874
6050000, 1.85818
6100000, 1.96734
6150000, 1.94303
6200000, 2.08299
6250000, 1.3813
6300000, 1.5926
6350000, 1.91769
6400000, 2.20623
6450000, 1.58245
6500000, 2.23601
6550000, 2.00688
6600000, 1.97767
6650000, 1.42471
6700000, 1.37772
6750000, 1.46767
6800000, 2.25502
6850000, 1.72355
6900000, 1.58205
6950000, 2.42946
7000000, 2.15027
7050000, 1.82742
7100000, 1.66008
7150000, 2.35701
7200000, 1.55607
7250000, 1.36326
7300000, 1.75335
7350000, 2.40141
7400000, 2.64255
7450000, 2.41304
7500000, 2.24204
7550000, 1.63036
7600000, 2.67777
7650000, 1.72189
7700000, 2.86208
7750000, 1.65139
7800000, 1.80659
7850000, 2.13649
7900000, 3.44506
7950000, 2.53094
8000000, 1.6648
8050000, 2.04085
8100000, 2.94072
8150000, 1.78273
8200000, 2.84091
8250000, 2.87827
8300000, 2.54742
8350000, 3.23113
8400000, 2.01153
8450000, 3.03357
8500000, 2.0843
8550000, 1.94375
8600000, 2.62912
8650000, 2.19454
8700000, 2.29859
8750000, 2.67952
8800000, 2.41802
8850000, 2.27613
8900000, 3.39187
8950000, 1.87288
9000000, 2.49468
9050000, 2.90075
9100000, 2.5667
9150000, 2.89053
9200000, 3.1649
9250000, 2.16354
9300000, 4.02676
9350000, 2.7502
9400000, 3.06694
9450000, 2.75298
9500000, 2.78735
9550000, 2.79573
9600000, 2.80265
9650000, 3.64207
9700000, 3.15529
9750000, 3.08594
9800000, 3.12688
9850000, 3.08853
9900000, 2.98811
9950000, 3.25418
10000000, 3.81745
